orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Görögország,2018,69.90,48.30,72.60,1.60,744.20,1667.50,29617.55,70014.80,74.40,344.90,18.50
Görögország,2019,71.20,50.50,77.00,1.60,726.90,1604.10,30356.27,73542.30,76.60,340.10,17.90
Görögország,2020,68.10,48.70,78.90,1.60,712.40,1623.80,27909.54,52878.00,78.70,341.50,17.70
Hollandia,2012,82.80,72.00,74.60,1.80,746.50,4736.20,47272.10,519130.00,72.10,385.10,10.10
Hollandia,2013,81.60,71.70,77.10,1.80,771.70,5012.90,49241.52,527581.00,74.40,406.60,10.40
Hollandia,2014,81.70,70.80,77.10,1.80,782.30,5026.20,49233.22,541129.00,74.70,415.90,11.60
Hollandia,2015,82.50,71.90,77.30,1.80,782.10,4257.70,50288.59,570353.00,75.50,440.70,11.60
Hollandia,2016,83.20,72.70,77.80,1.80,804.70,4285.50,52288.42,563377.00,76.40,450.80,12.70
Hollandia,2017,83.80,73.90,78.80,1.80,812.30,4393.30,55088.63,615553.00,78.00,468.10,13.20
Hollandia,2018,84.80,75.20,79.30,1.80,826.40,4654.30,57826.63,655439.00,78.70,472.90,13.30
Hollandia,2019,85.40,76.50,79.70,1.80,836.20,4509.70,59004.32,671077.00,79.40,482.50,13.20
Hollandia,2020,85.00,76.60,81.10,1.80,853.70,4764.80,59268.14,622927.00,80.90,499.80,13.40
Horvátország,2012,63.70,52.60,84.30,1.80,154.10,2064.20,21397.49,17372.40,76.70,89.50,20.40
Horvátország,2013,61.60,52.80,84.60,1.80,145.80,1959.30,22081.10,17667.90,78.10,82.60,19.50
Horvátország,2014,64.20,54.20,85.80,1.70,139.30,1903.20,22325.08,18788.50,79.50,67.50,19.40
Horvátország,2015,65.40,55.90,86.30,1.70,136.80,1586.40,23301.27,20690.40,79.90,64.10,20.00
Horvátország,2016,66.20,56.60,85.30,1.70,126.30,1531.90,25210.98,22204.60,80.10,58.20,19.50
Horvátország,2017,68.90,58.30,85.90,1.70,109.10,1576.60,27154.08,24571.90,81.60,58.10,20.00
Horvátország,2018,70.30,60.10,87.00,1.80,106.40,1667.50,28844.92,26086.40,83.30,58.70,19.30
Horvátország,2019,72.00,61.50,88.10,1.80,118.10,1604.10,30576.62,28201.10,83.50,54.40,18.30
Horvátország,2020,72.50,61.30,88.60,1.80,125.50,1623.80,28841.71,21092.10,84.60,53.60,18.30
Írország,2012,68.80,60.20,72.00,1.90,210.60,4741.30,46361.46,183012.70,77.80,57.80,16.30
Írország,2013,71.80,61.20,74.20,1.90,217.20,4824.00,47830.63,186244.30,79.90,62.40,15.70
Írország,2014,74.10,62.30,77.30,2.00,221.00,4838.10,51098.27,214349.70,83.20,62.10,16.80
Írország,2015,76.10,63.70,78.30,2.00,219.90,4082.60,69028.77,320564.90,83.80,64.60,16.20
Írország,2016,77.50,65.30,78.30,2.00,220.20,4147.40,71498.60,328235.40,84.40,67.80,16.80
Írország,2017,79.10,66.90,79.40,1.90,216.30,4320.00,77749.20,359654.90,85.50,67.20,15.60
Írország,2018,80.20,67.90,80.20,2.00,212.90,4644.60,84555.63,401001.30,86.10,68.70,14.90
Írország,2019,81.30,68.80,81.00,1.90,209.50,4593.70,87379.69,456096.70,86.20,69.00,13.10
Írország,2020,78.50,65.80,82.90,1.90,196.90,4681.60,93180.95,488877.40,88.00,73.70,13.90
Lengyelország,2012,69.70,56.20,89.70,1.60,1882.70,1112.50,23745.70,171672.30,89.50,944.90,17.10
Lengyelország,2013,70.00,56.30,90.20,1.60,1859.10,1163.50,24567.51,180473.10,90.10,914.00,17.30
Lengyelország,2014,71.80,58.20,90.40,1.60,1880.00,1189.40,25475.50,193113.30,90.60,905.40,17.00
Lengyelország,2015,72.90,59.90,90.60,1.60,1897.80,1010.30,26862.05,211321.00,91.00,933.90,17.60
Lengyelország,2016,74.90,61.50,91.10,1.60,1899.40,1009.60,28322.11,221766.80,91.50,908.10,17.30
Lengyelország,2017,77.00,63.00,92.00,1.60,1922.30,1121.30,30064.50,253163.00,92.20,866.80,15.00
Lengyelország,2018,78.30,64.50,92.10,1.70,1907.70,1273.50,31953.04,275015.40,92.70,898.30,14.80
Lengyelország,2019,79.70,64.90,92.20,1.70,1915.60,1297.30,33797.77,295592.20,93.00,886.00,15.40
Lengyelország,2020,80.20,65.20,92.90,1.70,1996.40,1342.80,34240.25,294219.20,93.60,881.00,14.80
Lettország,2012,69.80,66.20,85.60,1.50,52.40,880.20,21290.46,13577.50,92.20,34.70,19.20
Lettország,2013,71.70,67.50,85.90,1.50,53.50,950.70,22639.07,13764.80,92.50,36.90,19.40
Lettország,2014,72.90,68.40,86.00,1.50,55.70,1014.90,23815.80,14443.60,92.70,34.50,21.20
Lettország,2015,74.60,70.50,86.90,1.50,63.10,907.20,24972.79,14805.20,93.20,37.10,22.50
Lettország,2016,74.50,71.70,88.20,1.50,62.50,950.20,26721.73,15115.60,93.00,39.20,21.80
