orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Franciaorszag,2017,74.7,68.1,79,1.8,1883,3561,44577.0645745394,710965,77.8,980.4,13.2
Franciaorszag,2018,75.3,68.9,79.7,1.8,1928.7,3792.7,46576.6018489382,749491,79,983.1,13.4
Franciaorszag,2019,75.3,69.4,80.4,1.8,1980.3,3649.1,49072.3638300842,770099,80.6,1038.3,13.6
Franciaorszag,2020,75,69.3,81.3,1.8,1975.2,3616.2,46983.0419157962,641891,81.7,1114.7,13.8
Gorogorszag,2012,64.7,44.6,64.1,1.6,777.9,2064.2,24911.119631324,54145.5,67.4,351.2,23.1
Gorogorszag,2013,62.4,42.9,65.7,1.6,752.6,1959.3,25986.6503155014,54338,68.7,341.6,23.1
Gorogorszag,2014,62.6,43.8,67,1.6,733.9,1903.2,26625.0618096799,57576.2,69.9,334.8,22.1
Gorogorszag,2015,64.2,45.6,68.6,1.6,722.2,1586.4,26760.3633030256,56662.3,72.1,338,21.4
Gorogorszag,2016,65.7,46.2,70.2,1.6,715.8,1531.9,27511.8010160972,54594.8,73.4,347.3,21.2
Gorogorszag,2017,67.6,47.4,71.7,1.6,735.1,1576.6,28604.8609402657,61976.5,74,346,20.2
Gorogorszag,2018,69.9,48.3,72.6,1.6,744.2,1667.5,29617.5483399732,70014.8,74.4,344.9,18.5
Gorogorszag,2019,71.2,50.5,77,1.6,726.9,1604.1,30356.2663953863,73542.3,76.6,340.1,17.9
Gorogorszag,2020,68.1,48.7,78.9,1.6,712.4,1623.8,27909.5444893558,52878,78.7,341.5,17.7
Hollandia,2012,82.8,72,74.6,1.8,746.5,4736.2,47272.1030187972,519130,72.1,385.1,10.1
Hollandia,2013,81.6,71.7,77.1,1.8,771.7,5012.9,49241.5178406305,527581,74.4,406.6,10.4
Hollandia,2014,81.7,70.8,77.1,1.8,782.3,5026.2,49233.2153954401,541129,74.7,415.9,11.6
Hollandia,2015,82.5,71.9,77.3,1.8,782.1,4257.7,50288.5913949377,570353,75.5,440.7,11.6
Hollandia,2016,83.2,72.7,77.8,1.8,804.7,4285.5,52288.4150841353,563377,76.4,450.8,12.7
Hollandia,2017,83.8,73.9,78.8,1.8,812.3,4393.3,55088.6338006744,615553,78,468.1,13.2
Hollandia,2018,84.8,75.2,79.3,1.8,826.4,4654.3,57826.6284976675,655439,78.7,472.9,13.3
Hollandia,2019,85.4,76.5,79.7,1.8,836.2,4509.7,59004.3249664016,671077,79.4,482.5,13.2
Hollandia,2020,85,76.6,81.1,1.8,853.7,4764.8,59268.1352982384,622927,80.9,499.8,13.4
Horvatorszag,2012,63.7,52.6,84.3,1.8,154.1,2064.2,21397.4867786553,17372.4,76.7,89.5,20.4
Horvatorszag,2013,61.6,52.8,84.6,1.8,145.8,1959.3,22081.0977857438,17667.9,78.1,82.6,19.5
Horvatorszag,2014,64.2,54.2,85.8,1.7,139.3,1903.2,22325.0765880566,18788.5,79.5,67.5,19.4
Horvatorszag,2015,65.4,55.9,86.3,1.7,136.8,1586.4,23301.2728639377,20690.4,79.9,64.1,20
Horvatorszag,2016,66.2,56.6,85.3,1.7,126.3,1531.9,25210.9829651517,22204.6,80.1,58.2,19.5
Horvatorszag,2017,68.9,58.3,85.9,1.7,109.1,1576.6,27154.0846858541,24571.9,81.6,58.1,20
Horvatorszag,2018,70.3,60.1,87,1.8,106.4,1667.5,28844.9235406393,26086.4,83.3,58.7,19.3
Horvatorszag,2019,72,61.5,88.1,1.8,118.1,1604.1,30576.6192715516,28201.1,83.5,54.4,18.3
Horvatorszag,2020,72.5,61.3,88.6,1.8,125.5,1623.8,28841.7140738027,21092.1,84.6,53.6,18.3
Irorszag,2012,68.8,60.2,72,1.9,210.6,4741.3,46361.463694173,183012.7,77.8,57.8,16.3
Irorszag,2013,71.8,61.2,74.2,1.9,217.2,4824,47830.6308878373,186244.3,79.9,62.4,15.7
Irorszag,2014,74.1,62.3,77.3,2,221,4838.1,51098.2666828245,214349.7,83.2,62.1,16.8
Irorszag,2015,76.1,63.7,78.3,2,219.9,4082.6,69028.7727189836,320564.9,83.8,64.6,16.2
Irorszag,2016,77.5,65.3,78.3,2,220.2,4147.4,71498.6010072841,328235.4,84.4,67.8,16.8
Irorszag,2017,79.1,66.9,79.4,1.9,216.3,4320,77749.2019569363,359654.9,85.5,67.2,15.6
Irorszag,2018,80.2,67.9,80.2,2,212.9,4644.6,84555.6348017403,401001.3,86.1,68.7,14.9
